ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/0/_synthetic,String/1/Message,String/1/_value,String/1/_role
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In MultiUserCheAdminTestUserProvider.java,org.eclipse.che.selenium.core.user.MultiUserCheAdminTestUserProvider,MultiUserCheAdminTestUserProvider.java,org/eclipse/che/selenium/core/user/MultiUserCheAdminTestUserProvider.java,org\eclipse\che\selenium\core\user\MultiUserCheAdminTestUserProvider.java,In class org.eclipse.che.selenium.core.user.MultiUserCheAdminTestUserProvider,org.eclipse.che.selenium.core.user.MultiUserCheAdminTestUserProvider,true,org.eclipse.che.selenium.core.user.MultiUserCheAdminTestUserProvider,54,68,0,207,MultiUserCheAdminTestUserProvider.java,org/eclipse/che/selenium/core/user/MultiUserCheAdminTestUserProvider.java,org\eclipse\che\selenium\core\user\MultiUserCheAdminTestUserProvider.java,In method org.eclipse.che.selenium.core.user.MultiUserCheAdminTestUserProvider.get(),org.eclipse.che.selenium.core.user.MultiUserCheAdminTestUserProvider,get,()Lorg/eclipse/che/selenium/core/user/AdminTestUser;,false,true,At MultiUserCheAdminTestUserProvider.java:[line 65],org.eclipse.che.selenium.core.user.MultiUserCheAdminTestUserProvider,true,65,65,113,113,MultiUserCheAdminTestUserProvider.java,org/eclipse/che/selenium/core/user/MultiUserCheAdminTestUserProvider.java,org\eclipse\che\selenium\core\user\MultiUserCheAdminTestUserProvider.java,At MultiUserCheAdminTestUserProvider.java:[line 65],org.eclipse.che.selenium.core.user.MultiUserCheAdminTestUserProvider,65,65,110,110,MultiUserCheAdminTestUserProvider.java,org/eclipse/che/selenium/core/user/MultiUserCheAdminTestUserProvider.java,org\eclipse\che\selenium\core\user\MultiUserCheAdminTestUserProvider.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1b541fcd2cffd806d6064e0b7c260f55,0,0,117,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In MultiUserCheDefaultTestUserProvider.java,org.eclipse.che.selenium.core.user.MultiUserCheDefaultTestUserProvider,MultiUserCheDefaultTestUserProvider.java,org/eclipse/che/selenium/core/user/MultiUserCheDefaultTestUserProvider.java,org\eclipse\che\selenium\core\user\MultiUserCheDefaultTestUserProvider.java,In class org.eclipse.che.selenium.core.user.MultiUserCheDefaultTestUserProvider,org.eclipse.che.selenium.core.user.MultiUserCheDefaultTestUserProvider,true,org.eclipse.che.selenium.core.user.MultiUserCheDefaultTestUserProvider,46,82,0,514,MultiUserCheDefaultTestUserProvider.java,org/eclipse/che/selenium/core/user/MultiUserCheDefaultTestUserProvider.java,org\eclipse\che\selenium\core\user\MultiUserCheDefaultTestUserProvider.java,"In method new org.eclipse.che.selenium.core.user.MultiUserCheDefaultTestUserProvider(TestUserFactory, KeycloakCliClient, MultiUserCheAdminTestUserProvider, String, String, String)",org.eclipse.che.selenium.core.user.MultiUserCheDefaultTestUserProvider,<init>,(Lorg/eclipse/che/selenium/core/user/TestUserFactory;Lorg/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient;Lorg/eclipse/che/selenium/core/user/MultiUserCheAdminTestUserProvider;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,false,true,At MultiUserCheDefaultTestUserProvider.java:[line 77],org.eclipse.che.selenium.core.user.MultiUserCheDefaultTestUserProvider,true,77,77,172,172,MultiUserCheDefaultTestUserProvider.java,org/eclipse/che/selenium/core/user/MultiUserCheDefaultTestUserProvider.java,org\eclipse\che\selenium\core\user\MultiUserCheDefaultTestUserProvider.java,At MultiUserCheDefaultTestUserProvider.java:[line 80],org.eclipse.che.selenium.core.user.MultiUserCheDefaultTestUserProvider,80,80,169,169,MultiUserCheDefaultTestUserProvider.java,org/eclipse/che/selenium/core/user/MultiUserCheDefaultTestUserProvider.java,org\eclipse\che\selenium\core\user\MultiUserCheDefaultTestUserProvider.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2d02e4edaaecf60466e455e92fb053ac,0,0,117,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In MultiUserCheTestUserProvider.java,org.eclipse.che.selenium.core.user.MultiUserCheTestUserProvider,MultiUserCheTestUserProvider.java,org/eclipse/che/selenium/core/user/MultiUserCheTestUserProvider.java,org\eclipse\che\selenium\core\user\MultiUserCheTestUserProvider.java,In class org.eclipse.che.selenium.core.user.MultiUserCheTestUserProvider,org.eclipse.che.selenium.core.user.MultiUserCheTestUserProvider,true,org.eclipse.che.selenium.core.user.MultiUserCheTestUserProvider,40,71,0,392,MultiUserCheTestUserProvider.java,org/eclipse/che/selenium/core/user/MultiUserCheTestUserProvider.java,org\eclipse\che\selenium\core\user\MultiUserCheTestUserProvider.java,"In method new org.eclipse.che.selenium.core.user.MultiUserCheTestUserProvider(TestUserFactory, KeycloakCliClient, AdminTestUserProvider)",org.eclipse.che.selenium.core.user.MultiUserCheTestUserProvider,<init>,(Lorg/eclipse/che/selenium/core/user/TestUserFactory;Lorg/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient;Lorg/eclipse/che/selenium/core/provider/AdminTestUserProvider;)V,false,true,At MultiUserCheTestUserProvider.java:[line 63],org.eclipse.che.selenium.core.user.MultiUserCheTestUserProvider,true,63,63,95,95,MultiUserCheTestUserProvider.java,org/eclipse/che/selenium/core/user/MultiUserCheTestUserProvider.java,org\eclipse\che\selenium\core\user\MultiUserCheTestUserProvider.java,At MultiUserCheTestUserProvider.java:[line 66],org.eclipse.che.selenium.core.user.MultiUserCheTestUserProvider,66,66,92,92,MultiUserCheTestUserProvider.java,org/eclipse/che/selenium/core/user/MultiUserCheTestUserProvider.java,org\eclipse\che\selenium\core\user\MultiUserCheTestUserProvider.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,ea887cbf530cd50d065f9adb5171b110,0,0,117,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In SingleUserCheDefaultTestUserProvider.java,org.eclipse.che.selenium.core.user.SingleUserCheDefaultTestUserProvider,SingleUserCheDefaultTestUserProvider.java,org/eclipse/che/selenium/core/user/SingleUserCheDefaultTestUserProvider.java,org\eclipse\che\selenium\core\user\SingleUserCheDefaultTestUserProvider.java,In class org.eclipse.che.selenium.core.user.SingleUserCheDefaultTestUserProvider,org.eclipse.che.selenium.core.user.SingleUserCheDefaultTestUserProvider,true,org.eclipse.che.selenium.core.user.SingleUserCheDefaultTestUserProvider,35,42,0,174,SingleUserCheDefaultTestUserProvider.java,org/eclipse/che/selenium/core/user/SingleUserCheDefaultTestUserProvider.java,org\eclipse\che\selenium\core\user\SingleUserCheDefaultTestUserProvider.java,In method new org.eclipse.che.selenium.core.user.SingleUserCheDefaultTestUserProvider(TestUserFactory),org.eclipse.che.selenium.core.user.SingleUserCheDefaultTestUserProvider,<init>,(Lorg/eclipse/che/selenium/core/user/TestUserFactory;)V,false,true,At SingleUserCheDefaultTestUserProvider.java:[line 41],org.eclipse.che.selenium.core.user.SingleUserCheDefaultTestUserProvider,true,41,41,45,45,SingleUserCheDefaultTestUserProvider.java,org/eclipse/che/selenium/core/user/SingleUserCheDefaultTestUserProvider.java,org\eclipse\che\selenium\core\user\SingleUserCheDefaultTestUserProvider.java,At SingleUserCheDefaultTestUserProvider.java:[line 41],org.eclipse.che.selenium.core.user.SingleUserCheDefaultTestUserProvider,41,41,42,42,SingleUserCheDefaultTestUserProvider.java,org/eclipse/che/selenium/core/user/SingleUserCheDefaultTestUserProvider.java,org\eclipse\che\selenium\core\user\SingleUserCheDefaultTestUserProvider.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,428be083ca55ea330dafa6fb07994a87,0,0,117,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In CheTerminal.java,org.eclipse.che.selenium.pageobject.CheTerminal,CheTerminal.java,org/eclipse/che/selenium/pageobject/CheTerminal.java,org\eclipse\che\selenium\pageobject\CheTerminal.java,In class org.eclipse.che.selenium.pageobject.CheTerminal,org.eclipse.che.selenium.pageobject.CheTerminal,true,org.eclipse.che.selenium.pageobject.CheTerminal,367,381,0,282,CheTerminal.java,org/eclipse/che/selenium/pageobject/CheTerminal.java,org\eclipse\che\selenium\pageobject\CheTerminal.java,"In method org.eclipse.che.selenium.pageobject.CheTerminal.logApplicationInfo(String, TestWorkspace)",org.eclipse.che.selenium.pageobject.CheTerminal,logApplicationInfo,(Ljava/lang/String;Lorg/eclipse/che/selenium/core/workspace/TestWorkspace;)V,false,true,At CheTerminal.java:[line 377],org.eclipse.che.selenium.pageobject.CheTerminal,true,377,377,84,84,CheTerminal.java,org/eclipse/che/selenium/pageobject/CheTerminal.java,org\eclipse\che\selenium\pageobject\CheTerminal.java,At CheTerminal.java:[line 376],org.eclipse.che.selenium.pageobject.CheTerminal,376,376,71,71,CheTerminal.java,org/eclipse/che/selenium/pageobject/CheTerminal.java,org\eclipse\che\selenium\pageobject\CheTerminal.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,6d269394f79d52627e336f915cf7f8b,0,0,117,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In Consoles.java,org.eclipse.che.selenium.pageobject.Consoles,Consoles.java,org/eclipse/che/selenium/pageobject/Consoles.java,org\eclipse\che\selenium\pageobject\Consoles.java,In class org.eclipse.che.selenium.pageobject.Consoles,org.eclipse.che.selenium.pageobject.Consoles,true,org.eclipse.che.selenium.pageobject.Consoles,440,473,0,287,Consoles.java,org/eclipse/che/selenium/pageobject/Consoles.java,org\eclipse\che\selenium\pageobject\Consoles.java,In method org.eclipse.che.selenium.pageobject.Consoles.waitJDTLSProjectResolveFinishedMessage(String[]),org.eclipse.che.selenium.pageobject.Consoles,waitJDTLSProjectResolveFinishedMessage,([Ljava/lang/String;)V,false,true,At Consoles.java:[line 467],org.eclipse.che.selenium.pageobject.Consoles,true,467,467,94,94,Consoles.java,org/eclipse/che/selenium/pageobject/Consoles.java,org\eclipse\che\selenium\pageobject\Consoles.java,,,,,,,,,,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b6bf5a1557333416f6a489bfe7e93423,0,0,117,,Method usage not detected,not detected,Method usage
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In Preferences.java,org.eclipse.che.selenium.pageobject.Preferences,Preferences.java,org/eclipse/che/selenium/pageobject/Preferences.java,org\eclipse\che\selenium\pageobject\Preferences.java,In class org.eclipse.che.selenium.pageobject.Preferences,org.eclipse.che.selenium.pageobject.Preferences,true,org.eclipse.che.selenium.pageobject.Preferences,586,599,0,253,Preferences.java,org/eclipse/che/selenium/pageobject/Preferences.java,org\eclipse\che\selenium\pageobject\Preferences.java,"In method org.eclipse.che.selenium.pageobject.Preferences.uploadPrivateSshKey(String, String)",org.eclipse.che.selenium.pageobject.Preferences,uploadPrivateSshKey,(Ljava/lang/String;Ljava/lang/String;)V,false,true,At Preferences.java:[line 587],org.eclipse.che.selenium.pageobject.Preferences,true,587,587,19,19,Preferences.java,org/eclipse/che/selenium/pageobject/Preferences.java,org\eclipse\che\selenium\pageobject\Preferences.java,At Preferences.java:[line 587],org.eclipse.che.selenium.pageobject.Preferences,587,587,16,16,Preferences.java,org/eclipse/che/selenium/pageobject/Preferences.java,org\eclipse\che\selenium\pageobject\Preferences.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,498858a3306d8baff1b2e639e804671b,0,0,117,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In Preferences.java,org.eclipse.che.selenium.pageobject.Preferences,Preferences.java,org/eclipse/che/selenium/pageobject/Preferences.java,org\eclipse\che\selenium\pageobject\Preferences.java,In class org.eclipse.che.selenium.pageobject.Preferences,org.eclipse.che.selenium.pageobject.Preferences,true,org.eclipse.che.selenium.pageobject.Preferences,586,599,0,253,Preferences.java,org/eclipse/che/selenium/pageobject/Preferences.java,org\eclipse\che\selenium\pageobject\Preferences.java,"In method org.eclipse.che.selenium.pageobject.Preferences.uploadPrivateSshKey(String, String)",org.eclipse.che.selenium.pageobject.Preferences,uploadPrivateSshKey,(Ljava/lang/String;Ljava/lang/String;)V,false,true,At Preferences.java:[line 586],org.eclipse.che.selenium.pageobject.Preferences,true,586,586,5,5,Preferences.java,org/eclipse/che/selenium/pageobject/Preferences.java,org\eclipse\che\selenium\pageobject\Preferences.java,,,,,,,,,,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,251c7ec4d2fb882df8839570a0c727e7,0,0,22,,Method usage not detected,not detected,Method usage
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In UploadFolderFromZip.java,org.eclipse.che.selenium.pageobject.UploadFolderFromZip,UploadFolderFromZip.java,org/eclipse/che/selenium/pageobject/UploadFolderFromZip.java,org\eclipse\che\selenium\pageobject\UploadFolderFromZip.java,In class org.eclipse.che.selenium.pageobject.UploadFolderFromZip,org.eclipse.che.selenium.pageobject.UploadFolderFromZip,true,org.eclipse.che.selenium.pageobject.UploadFolderFromZip,82,86,0,125,UploadFolderFromZip.java,org/eclipse/che/selenium/pageobject/UploadFolderFromZip.java,org\eclipse\che\selenium\pageobject\UploadFolderFromZip.java,In method org.eclipse.che.selenium.pageobject.UploadFolderFromZip.setPathToZip(String),org.eclipse.che.selenium.pageobject.UploadFolderFromZip,setPathToZip,(Ljava/lang/String;)V,false,true,At UploadFolderFromZip.java:[line 83],org.eclipse.che.selenium.pageobject.UploadFolderFromZip,true,83,83,18,18,UploadFolderFromZip.java,org/eclipse/che/selenium/pageobject/UploadFolderFromZip.java,org\eclipse\che\selenium\pageobject\UploadFolderFromZip.java,At UploadFolderFromZip.java:[line 83],org.eclipse.che.selenium.pageobject.UploadFolderFromZip,83,83,15,15,UploadFolderFromZip.java,org/eclipse/che/selenium/pageobject/UploadFolderFromZip.java,org\eclipse\che\selenium\pageobject\UploadFolderFromZip.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,bc9565364d26e941984b848a24701269,0,0,117,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In UploadFolderFromZip.java,org.eclipse.che.selenium.pageobject.UploadFolderFromZip,UploadFolderFromZip.java,org/eclipse/che/selenium/pageobject/UploadFolderFromZip.java,org\eclipse\che\selenium\pageobject\UploadFolderFromZip.java,In class org.eclipse.che.selenium.pageobject.UploadFolderFromZip,org.eclipse.che.selenium.pageobject.UploadFolderFromZip,true,org.eclipse.che.selenium.pageobject.UploadFolderFromZip,82,86,0,125,UploadFolderFromZip.java,org/eclipse/che/selenium/pageobject/UploadFolderFromZip.java,org\eclipse\che\selenium\pageobject\UploadFolderFromZip.java,In method org.eclipse.che.selenium.pageobject.UploadFolderFromZip.setPathToZip(String),org.eclipse.che.selenium.pageobject.UploadFolderFromZip,setPathToZip,(Ljava/lang/String;)V,false,true,At UploadFolderFromZip.java:[line 82],org.eclipse.che.selenium.pageobject.UploadFolderFromZip,true,82,82,5,5,UploadFolderFromZip.java,org/eclipse/che/selenium/pageobject/UploadFolderFromZip.java,org\eclipse\che\selenium\pageobject\UploadFolderFromZip.java,,,,,,,,,,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,355a51de99408401ab0b7bd95b5252fa,0,0,22,,Method usage not detected,not detected,Method usage
